Marital,Mode,Order,Course,Attendance,Qualification,Nationality,Mother-Q,Father-Q,Mother-O,Father-O,Displaced,Need,Debtor,Fee,Gender,Scholarship,Age,1st,2nd,Unemployment,Inflation,GDP,Target,,,,,,
1.00 ,6.00 ,1.00 ,9.00 ,1.00 ,1.00 ,15.00 ,11.00 ,12.00 ,10.00 ,6.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,22.00 ,7.00 ,6.00 ,13.10 ,0.07 ,1.01 ,1.00 ,,,,,,
1.00 ,11.00 ,1.00 ,8.00 ,1.00 ,14.00 ,10.00 ,2.00 ,5.00 ,5.00 ,7.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,19.00 ,3.00 ,6.00 ,13.24 ,3.70 ,-3.09 ,1.00 ,,,,,,
1.00 ,5.00 ,1.00 ,7.00 ,1.00 ,1.00 ,10.00 ,2.00 ,2.00 ,10.00 ,9.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,18.00 ,6.00 ,5.00 ,9.08 ,1.10 ,2.77 ,1.00 ,,,,,,
1.00 ,6.00 ,2.00 ,10.00 ,1.00 ,1.00 ,15.00 ,1.00 ,4.00 ,3.00 ,3.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,21.00 ,6.00 ,6.00 ,14.44 ,-0.17 ,-3.10 ,1.00 ,,,,,,
1.00 ,4.00 ,3.00 ,15.00 ,1.00 ,1.00 ,7.00 ,25.00 ,4.00 ,3.00 ,3.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,20.00 ,0.00 ,0.00 ,8.52 ,-0.06 ,-2.33 ,0.00 ,,,,,,
1.00 ,6.00 ,1.00 ,9.00 ,1.00 ,1.00 ,8.00 ,12.00 ,15.00 ,3.00 ,10.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,19.00 ,7.00 ,7.00 ,13.06 ,-0.47 ,1.74 ,1.00 ,,,,,,
1.00 ,3.00 ,3.00 ,17.00 ,1.00 ,1.00 ,7.00 ,10.00 ,27.00 ,10.00 ,10.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,20.00 ,7.00 ,6.00 ,9.20 ,0.96 ,1.56 ,1.00 ,,,,,,
1.00 ,5.00 ,1.00 ,15.00 ,1.00 ,1.00 ,16.00 ,12.00 ,16.00 ,10.00 ,9.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,18.00 ,5.00 ,4.00 ,16.20 ,-0.17 ,0.61 ,1.00 ,,,,,,
1.00 ,2.00 ,1.00 ,17.00 ,1.00 ,1.00 ,14.00 ,2.00 ,2.00 ,11.00 ,7.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,21.00 ,2.00 ,5.00 ,9.39 ,3.60 ,0.42 ,1.00 ,,,,,,
1.00 ,1.00 ,1.00 ,7.00 ,1.00 ,1.00 ,17.00 ,19.00 ,26.00 ,9.00 ,11.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,24.00 ,5.00 ,6.00 ,14.34 ,-0.80 ,-4.06 ,1.00 ,,,,,,
1.00 ,13.00 ,1.00 ,12.00 ,1.00 ,1.00 ,13.00 ,22.00 ,28.00 ,9.00 ,10.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,34.00 ,0.00 ,0.00 ,14.62 ,1.58 ,-0.66 ,0.00 ,,,,,,
1.00 ,12.00 ,1.00 ,17.00 ,1.00 ,1.00 ,18.00 ,20.00 ,12.00 ,10.00 ,7.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,29.00 ,7.00 ,8.00 ,14.61 ,0.00 ,-0.59 ,1.00 ,,,,,,
1.00 ,13.00 ,1.00 ,6.00 ,0.00 ,1.00 ,13.00 ,20.00 ,1.00 ,10.00 ,6.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,32.00 ,17.00 ,9.00 ,15.63 ,-0.80 ,-2.12 ,1.00 ,,,,,,                                                                                                                                                                                                                                                                                                                                                                                   
1.00 ,3.00 ,3.00 ,15.00 ,1.00 ,1.00 ,9.00 ,9.00 ,1.00 ,10.00 ,7.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,7.00 ,12.00 ,11.45 ,2.57 ,-0.98 ,1.00 ,,,,,,
2.00 ,14.00 ,1.00 ,16.00 ,0.00 ,1.00 ,14.00 ,22.00 ,27.00 ,10.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,34.00 ,7.00 ,11.00 ,8.41 ,-0.41 ,3.51 ,1.00 ,,,,,,
1.00 ,4.00 ,3.00 ,13.00 ,1.00 ,1.00 ,11.00 ,3.00 ,14.00 ,5.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,6.00 ,7.00 ,11.17 ,0.67 ,3.27 ,1.00 ,,,,,,
1.00 ,1.00 ,3.00 ,6.00 ,1.00 ,1.00 ,8.00 ,2.00 ,3.00 ,5.00 ,6.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,19.00 ,7.00 ,7.00 ,16.20 ,0.61 ,-2.37 ,1.00 ,,,,,,
